epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,8263.25,0.77053,1.1733,1.32582,0.51838,0.37539,0.40788,0.30037,1.09829,2.00732,1.71767,0.00750252,0.00750252,0.00750252
136,8322.96,0.76663,1.16016,1.32817,0.42715,0.4117,0.40919,0.30022,1.0858,1.99447,1.69582,0.00746868,0.00746868,0.00746868
137,8380.48,0.77945,1.17409,1.3362,0.43533,0.43944,0.408,0.30148,1.08223,1.98588,1.69038,0.00743468,0.00743468,0.00743468
138,8439.83,0.7738,1.11993,1.33065,0.42713,0.42662,0.40452,0.2953,1.10426,1.98426,1.7225,0.00740054,0.00740054,0.00740054
139,8499.39,0.7643,1.11696,1.32717,0.45625,0.41038,0.40886,0.3017,1.09061,1.99634,1.70924,0.00736625,0.00736625,0.00736625
140,8610.37,0.75752,1.10857,1.32705,0.45012,0.39399,0.40178,0.2982,1.09889,2.01813,1.71305,0.00733182,0.00733182,0.00733182
141,8724.15,0.75154,1.07687,1.31347,0.4505,0.37832,0.39996,0.29873,1.09512,2.0222,1.71426,0.00729725,0.00729725,0.00729725
142,8828.33,0.74891,1.09374,1.31241,0.46652,0.39894,0.41028,0.30447,1.0955,2.00945,1.70008,0.00726254,0.00726254,0.00726254
143,8990.58,0.76084,1.0995,1.32247,0.44138,0.40697,0.39828,0.28802,1.10877,2.04802,1.71759,0.0072277,0.0072277,0.0072277
144,9064.94,0.75229,1.11818,1.32321,0.41124,0.41516,0.40201,0.29479,1.10376,2.04546,1.71828,0.00719272,0.00719272,0.00719272
145,9136.6,0.73414,1.04172,1.29582,0.43557,0.421,0.40895,0.30419,1.08753,2.02195,1.70098,0.00715761,0.00715761,0.00715761
146,9207.74,0.7311,1.03859,1.30073,0.47626,0.39791,0.41408,0.30927,1.08592,2.00495,1.69862,0.00712237,0.00712237,0.00712237
147,9280.32,0.73554,1.03632,1.2996,0.46662,0.40338,0.41604,0.30467,1.10467,2.0388,1.72139,0.007087,0.007087,0.007087
148,9353.06,0.72818,1.02481,1.28543,0.45731,0.42072,0.42195,0.30598,1.09847,1.96876,1.71775,0.0070515,0.0070515,0.0070515
149,9425.23,0.72102,0.99822,1.28962,0.42217,0.43153,0.41672,0.30969,1.09716,1.94837,1.71564,0.00701588,0.00701588,0.00701588
150,9497.76,0.72264,0.99231,1.28096,0.4758,0.36919,0.40914,0.30458,1.09298,1.9704,1.71185,0.00698014,0.00698014,0.00698014
151,9570.04,0.72288,0.96018,1.2972,0.48541,0.3981,0.40648,0.30335,1.11214,2.02816,1.72948,0.00694428,0.00694428,0.00694428
152,9642.5,0.71383,0.9451,1.27839,0.49549,0.38321,0.40692,0.30265,1.10298,2.02219,1.71663,0.00690831,0.00690831,0.00690831
153,9704.35,0.71065,0.94953,1.27215,0.4473,0.41773,0.40695,0.30332,1.10277,2.03608,1.71834,0.00687222,0.00687222,0.00687222
